,Date,Contributor,Zip,Amount,Recipient,Record Type Description,Source Description
67,5/18/2005,"O'Donnell, James J",2468.0,$300.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
68,5/18/2005,"Vandusen, Faith",1940.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
69,12/1/2005,"Zuker, Edward",2467.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
70,12/31/2005,Boston Private Bank,2109.0,$84.81,Greater Boston Real Estate Board PAC,Individual,2005 Year-end Report (PAC)
71,2/14/2006,"Wolf, Jeanne",2144.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
72,2/27/2006,"Donahue, Paul",1890.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
73,3/15/2006,"Mitchell, Beth",2465.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
74,3/20/2006,"Owens, Leonard",1907.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
75,3/21/2006,"Chodat, Carolyn",2053.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
76,3/22/2006,"Alperin, Thomas",2493.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
77,3/22/2006,"Canfield, James",2066.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
78,3/22/2006,"Loughlin, Richard",1742.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
79,3/29/2006,"Curtis, Lawrence",1921.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
80,3/29/2006,"Winn, Arthur",2109.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
81,3/31/2006,"Drucker, Ronald",2110.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
82,4/3/2006,"Miller, Nathan",2199.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
83,4/5/2006,"McCall, William",1890.0,$200.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
84,4/5/2006,"Wolkoff, Susan",1778.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
85,4/11/2006,"Beal, Robert ",2108.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
86,4/11/2006,"Chestnut, Robert ",2301.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
87,4/11/2006,"Enos, Elizabeth ",2356.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
88,4/11/2006,"Lundgren, Richard",2120.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
89,4/11/2006,"Malihi, Mahmood",2110.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
90,4/12/2006,"Fantini, George",1810.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
91,4/19/2006,"Phelan, Kevin",2481.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
92,4/25/2006,"Bagdasarian, Bruce ",2459.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
93,4/25/2006,"O'Neil, John",2186.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
94,4/25/2006,"Rappaport, Jerome",2492.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
95,5/2/2006,"McLaughlin, William",2467.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
96,5/9/2006,"Epker, Mark",2492.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
97,5/9/2006,"Kelly, Eugene ",2116.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
98,5/9/2006,"Leeder, Earle",2493.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
99,5/9/2006,"McCullough, Robert",1810.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
100,5/9/2006,"McHugh, George",2180.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
101,5/9/2006,"Wollinger, William",1940.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
102,5/19/2006,"Kavoogian, Brian",2481.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
103,6/23/2006,"Germain, Jean-Robert",2067.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
104,6/27/2006,"Spurr, John",2066.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-primary Report (PAC)
105,9/1/2006,Aggregated Unitemized Receipts,,$281.85,Greater Boston Real Estate Board PAC,Aggregated Unitemized Receipts,2006 Pre-primary Report (PAC)
106,9/18/2006,"Libbey, Patricia C",2445.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
107,9/27/2006,"Brierley, Robert M",2025.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
108,9/28/2006,"Levenson, Norman A",2215.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
109,9/29/2006,"Chow, Eliza",2135.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
110,10/2/2006,"Zuker, Edward E",2459.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
111,10/5/2006,"Martocchia, Amleto",2472.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
112,10/5/2006,"Pulsifer, Gordon",2061.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
113,10/10/2006,"Coppola, John A",2120.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
114,10/10/2006,"Sykes, Brian",1742.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
115,10/10/2006,"White, Eleanor",2459.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
116,10/11/2006,"Chodat, Carolyn",2053.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
117,10/11/2006,"Fitzgerald, Robert F",2108.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
118,10/16/2006,"Condon, Louise",2492.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
119,10/16/2006,"Kelly, Eugene F",2116.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
120,10/20/2006,"Meller Gerbe, Amy and Thomas",1776.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Year-end Report (PAC)
121,10/20/2006,"O'Brien, Thomas N",2420.0,$300.00,Greater Boston Real Estate Board PAC,Individual,2006 Pre-election Report (PAC)
122,10/23/2006,Aggregated Unitemized Receipts,,$12.11,Greater Boston Real Estate Board PAC,Aggregated Unitemized Receipts,2006 Pre-election Report (PAC)
123,10/31/2006,"Germain, Jean",2067.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Year-end Report (PAC)
124,11/15/2006,"Rotenberg, Michael",2108.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Year-end Report (PAC)
125,11/17/2006,"Noone, Judith ",2420.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2006 Year-end Report (PAC)
126,12/19/2006,"Beal, Richard P",2043.0,$25.00,Greater Boston Real Estate Board PAC,Individual,2006 Year-end Report (PAC)
127,12/19/2006,"Mullins, Joseph R",2184.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2006 Year-end Report (PAC)
128,12/19/2006,"Mullins, Michael J.",2184.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2006 Year-end Report (PAC)
129,12/31/2006,Aggregated Unitemized Receipts,,$55.05,Greater Boston Real Estate Board PAC,Aggregated Unitemized Receipts,2006 Year-end Report (PAC)
130,2/21/2007,"Beal, Richard",2043.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
131,2/21/2007,"Brodsky, Stephen ",2090.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
132,2/21/2007,"Carucci, Michael",2646.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
133,2/21/2007,"Chow, Eliza",2135.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
134,2/21/2007,"Friedberg, David",2215.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
135,2/21/2007,"Libbey, Patricia",2445.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
136,3/14/2007,"Cadigan, Laurie",1742.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
137,3/14/2007,"Condon, Louise",2492.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
138,3/14/2007,"Dermody, William",2494.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
139,3/14/2007,"Hughs, Michael",2451.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
140,3/14/2007,"Neergaard, Judy",1720.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
141,3/14/2007,"Ranco, John",2446.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
142,3/21/2007,"DiMella, Michael",2118.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
143,3/21/2007,"Germain, Jean",2067.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
144,3/21/2007,"Shortsleeve, Robert ",2130.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
145,3/21/2007,"Yorkis, Paul ",2053.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
146,3/29/2007,"Martocchia, Amleto",2472.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
147,4/2/2007,"Loughlin, Richard",1742.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
148,4/5/2007,"Canfield, James",2066.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
149,4/9/2007,"Owens, Lenny",1907.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
150,4/9/2007,"Wluka, David",2067.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
151,4/10/2007,"McLaughlin, William",2467.0,$200.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
152,4/12/2007,"Curtis, Lawrence ",1921.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
153,4/17/2007,"Alperin, Thomas",2493.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
154,4/19/2007,"Mitchell, Beth",2465.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
155,4/25/2007,"Rodiger, Albert ",2043.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
156,4/25/2007,"Tung, Lein",2140.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
157,4/30/2007,"Cohen, Howard",2110.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
158,5/8/2007,"Leeder, Earle",2493.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
159,5/8/2007,"White, Eleanor",2459.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
160,5/14/2007,"McCullough, Robert",1810.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
161,5/14/2007,"Yensen, Diane",6071.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
162,5/15/2007,"Fantini, George",1810.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
163,5/15/2007,"Malihi, Mahmood",2110.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
164,5/16/2007,"Wolkoff, Susan",1778.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
165,5/21/2007,"Coppola, John",2120.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
166,5/21/2007,"Lerner, James",2021.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
167,5/21/2007,"Phelan, Kevin ",2481.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
168,5/23/2007,"McCall, William",1890.0,$200.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
169,5/23/2007,"Pulsifer, Gordon",2061.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
170,5/25/2007,"Nickerson, Barbara",2186.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
171,5/25/2007,"Spurr, John",2066.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
172,5/25/2007,"Zuker, Edward",2459.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
173,5/29/2007,"Chestnut, Robert",2301.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
174,5/31/2007,"Rappaport, Jerome",2492.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
175,6/14/2007,"Kelly, Eugene",2116.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
176,6/20/2007,"Chodat, Carolyn",2053.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
177,6/28/2007,"Moore, Judy ",2420.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
178,6/28/2007,"Pietras, Theodore",1945.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
179,7/3/2007,"Rahn, Jeffrey",2052.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
180,7/9/2007,"Bagdasarian, Bruce",2459.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
181,7/9/2007,"Griffith Loeber, Marci",2493.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
182,7/9/2007,"Krolman, Janet",2129.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
183,7/9/2007,"Leahy, Andrew",2116.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
184,7/11/2007,"Martocchia, Amleto",2472.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
185,7/18/2007,"Lindgren, Michael",1772.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
186,7/23/2007,"Edlund, Karen",2118.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
187,7/30/2007,"Jamieson, Scott",1810.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
188,7/30/2007,"Natalizio, Paul",1730.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
189,8/1/2007,"Tanski, William ",2421.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
190,8/20/2007,"Brierley, Robert",2025.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
191,8/20/2007,"Winn, Arthur",2109.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
192,11/15/2007,"Shortsleeve, Robert ",2130.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
193,12/10/2007,"Howard, Stephen",1880.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
194,12/17/2007,"Neergaard, Judy",1720.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2007 Year-end Report (PAC)
195,12/31/2007,Aggregated Unitemized Receipts,,$141.00,Greater Boston Real Estate Board PAC,Aggregated Unitemized Receipts,2007 Year-end Report (PAC)
196,1/1/2008,"Cadigan, Laurie",1742.0,$500.00,Greater Boston Real Estate Board PAC,Individual,2008 Pre-primary Report (PAC)
197,1/1/2008,"Phelan, Kevin",2481.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2008 Pre-primary Report (PAC)
198,1/7/2008,"O'Donnell, James",2468.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2008 Pre-primary Report (PAC)
199,1/8/2008,"Ercolini, Robert ",1845.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2008 Pre-primary Report (PAC)
200,1/8/2008,"Hofstetter, Gary",1760.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2008 Pre-primary Report (PAC)
201,1/8/2008,"Natalizio, Paul",1730.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2008 Pre-primary Report (PAC)
202,1/8/2008,"White, William",2445.0,$150.00,Greater Boston Real Estate Board PAC,Individual,2008 Pre-primary Report (PAC)
203,1/22/2008,"Rand, Jeffrey",3244.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2008 Pre-primary Report (PAC)
204,2/12/2008,"Chodat, Carolyn",2053.0,$50.00,Greater Boston Real Estate Board PAC,Individual,2008 Pre-primary Report (PAC)
205,2/12/2008,"DiMella, Michael",2155.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2008 Pre-primary Report (PAC)
206,2/12/2008,"Friedberg, David",2215.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2008 Pre-primary Report (PAC)
207,2/12/2008,"Kaloupek, David",2452.0,$100.00,Greater Boston Real Estate Board PAC,Individual,2008 Pre-primary Report (PAC)
208,2/12/2008,"Libbey, Patricia",2445.0,$250.00,Greater Boston Real Estate Board PAC,Individual,2008 Pre-primary Report (PAC)
